Ua(V),Ub(V),Uc(V), Ia(A), Ib(A),   Ic(A)
-77.406,6.1451,71.092,-74.252,2.1763,72.304
80.997,-61.67,-19.023,78.297,-61.968,-15.918
81.134,-54.193,-26.599,72.993,-44.125,-28.743
11.622,65.753,-77.654,4.5368,61.931,-66.529
-33.952,-49.902,84.754,-28.074,-55.947,84.126
-81.122,19.303,61.67,-79.793,19.991,59.752
83.496,-49.159,-34.181,81.818,-51.614,-30.173
84.409,-52.023,-31.978,84.378,-58.025,-25.712
-57.878,-25.333,83.701,-57.392,-25.211,83.033
-66.923,75.654,-8.561,-61.421,69.181,-7.6266
28.704,54.251,-83.257,33.075,50.459,-83.638
-82.408,30.888,51.272,-71.905,22.591,48.973
-77.14,68.757,8.0537,-73.296,69.015,4.2405
12.246,66.582,-78.891,11.435,63.547,-75.634
-19.584,-61.47,81.053,-23.162,-57.779,80.884
-84.241,29.163,54.185,-84.398,24.483,59.585
84.58,-34.341,-49.653,82.271,-31.254,-50.709
-73.383,74.788,-1.4299,-73.063,73.294,-0.40417
-83.114,59.696,23.242,-80.211,61.416,18.216
-81.968,22.534,59.339,-82.53,22.433,59.63
-77.561,62.49,14.76,-72.309,52.67,19.359
-1.4299,-73.383,74.819,-0.55961,-72.752,72.951
-13,-64.519,77.773,-11.677,-59.364,71.017
-58.994,83.085,-23.855,-64.045,83.136,-18.816
82.122,-61.295,-20.178,78.038,-61.966,-15.98
-33.296,84.914,-51.479,-28.381,82.357,-53.739
85.087,-40.223,-44.756,83.464,-42.095,-41.058
12.092,67.322,-79.512,14.861,64.495,-79.129
67.804,7.3335,-75.013,57.953,11.746,-69.823
-39.036,84.989,-45.898,-41,83.128,-41.736
78.642,-10.631,-67.819,76.792,-11.295,-65.274
-35.833,84.976,-48.845,-38.455,83.515,-45.042
-67.172,-11.6,78.46,-62.915,-19.058,82.444
-70.161,76.535,-6.4427,-67.797,78.47,-10.412
83.616,-27.213,-56.104,84.152,-21.398,-62.037
6.2148,-75.199,68.829,0.031074,-64.789,64.789
7.3878,-75.306,67.65,6.0127,-68.77,62.433
-67.745,75.083,-7.0214,-57.782,73.323,-15.412
-24.91,83.231,-57.652,-19.54,83.371,-63.036
73.281,-69.895,-3.4561,67.409,-64.649,-2.6899
-84.3,55.329,28.688,-84.409,55.415,29.038
79.625,-65.547,-14.183,79.423,-61.757,-17.814
-29.256,-52.095,81.819,-20.697,-50.19,71.041
84.914,-33.11,-51.635,82.388,-28.039,-53.987
40.492,-85.366,44.816,37.173,-83.837,46.324
69.552,8.5267,-77.807,72.797,1.936,-75.161
48.044,36.393,-84.689,54.137,29.777,-84.222
64.304,14.636,-79.399,60.944,21.522,-82.742
71.843,0.34181,-72.123,61.775,5.8108,-67.648
79.702,-18.073,-61.103,72.694,-16.139,-56.358
-70.71,-6.7452,77.554,-70.539,-6.8708,77.6
81.725,-24.486,-56.928,71.191,-17.277,-54.069
-83.62,46.238,37.04,-81.01,44.902,35.859
-27.911,83.304,-55.267,-28.696,83.185,-54.283
63.275,-81.625,18.37,65.394,-79.061,13.304
38.771,45.681,-84.642,44.356,40.456,-84.347
5.7143,-76.252,70.88,12.483,-79.708,66.562
81.725,-56.928,-24.486,71.191,-54.069,-17.277
-12.461,77.741,-65.19,-15.664,76.081,-60.507
81.694,-56.772,-24.58,70.787,-53.696,-17.06
55.972,26.923,-82.541,53.632,30.592,-84.092
55.79,-82.693,26.599,45.979,-79.083,32.66
76.77,-4.8491,-71.835,76.584,-4.9612,-71.506
-8.4548,-69.099,77.827,-5.192,-69.207,74.714
-79.702,63.351,16.066,-77.79,58.323,19.334
38.376,-83.154,44.591,32.783,-77.499,44.591
81.345,-21.569,-59.859,81.206,-25.424,-55.611
83.348,-25.291,-57.364,83.822,-20.535,-62.663
-57.213,-23.844,81.821,-53.13,-22.057,75.289
81.568,-58.785,-22.708,78.328,-54.051,-24.176
65.796,13.405,-79.522,62.117,17.377,-79.815
31.705,52.465,-84.237,31.826,52.313,-83.725
-27.832,-54.778,82.946,-34.084,-44.618,79.083
43.878,-85.716,41.464,46.659,-84.446,37.929
-60.634,82.946,-21.88,-62.357,80.468,-17.721
-84.552,52.152,32.289,-83.076,48.143,34.837
37.015,47.759,-85.058,39.337,43.977,-83.286
-38.168,85.349,-47.029,-33.354,83.507,-49.76
-6.6727,77.53,-70.688,-3.0779,74.438,-71.776
-33.63,-50.853,84.797,-32.684,-48.738,81.237
57.291,-81.886,24.244,54.438,-84.864,29.777
42.018,-85.318,42.978,45.191,-83.88,38.328
-1.4585,72.014,-70.467,-1.4241,65.471,-64.023
81.571,-23.015,-58.709,84.354,-28.736,-55.24
-18.582,-61.713,80.979,-11,-63.826,74.982
84.666,-47.446,-37.131,82.947,-42.338,-40.498
-78.804,58.979,19.546,-71.657,48.817,22.746
58.534,-82.043,23.273,55.184,-82.892,27.946
-31.783,-52.287,83.761,-36.258,-48.477,84.713
58.979,19.546,-78.804,48.817,22.746,-71.657
77.157,-66.809,-10.037,66.374,-63.049,-3.2938
14.364,65.999,-80.24,8.8557,70.411,-79.622
64.048,16.241,-79.851,61.306,21.67,-83.244
-63.986,81.452,-17.132,-66.336,79.536,-13.058
49.338,33.895,-83.782,46.548,31.361,-77.695
75.369,-67.207,-7.9268,68.802,-61.801,-6.7405
65.525,14.889,-80.562,64.449,12.45,-77.269
80.197,-13.778,-66.481,78.16,-9.9784,-68.347
-13.884,-64.868,79.395,-7.468,-65.953,73.545
22.108,58.605,-81.202,29.116,48.7,-78.007
-76.84,71.238,5.564,-76.512,70.695,5.4292
-43.395,-41.282,84.992,-49.511,-35.412,84.875
60.393,-80.946,20.202,57.563,-84.46,26.473
83.58,-54.653,-28.18,77.659,-56.776,-20.537
-1.8649,-73.141,75.129,-1.7759,-70.138,72.483
37.145,47.554,-84.859,38.8,45.333,-84.215
-56.106,83.466,-26.729,-58.162,79.055,-20.728
44.343,-85.778,41.03,47.374,-84.757,37.463
-83.039,21.477,61.131,-80.81,17.41,63.227
77.96,-14.391,-63.224,67.085,-5.6333,-61.551
